po_id,order_date,product_id,supplier_id,quantity_ordered,expected_delivery_date,actual_delivery_date,status
PO00044,2024-01-16,P0002,S010,784,2024-02-16,2024-02-19,Delivered
PO00045,2024-02-21,P0002,S010,470,2024-03-23,2024-03-25,Delivered
PO00046,2024-03-25,P0002,S010,459,2024-04-25,2024-04-27,Delivered
PO00047,2024-04-30,P0002,S010,542,2024-05-31,2024-05-31,Delivered
PO00048,2024-06-04,P0002,S010,877,2024-07-05,2024-07-06,Delivered
PO00049,2024-07-13,P0002,S010,873,2024-08-13,2024-08-15,Delivered
PO00050,2024-08-20,P0002,S010,327,2024-09-20,2024-09-22,Delivered
PO00051,2024-09-22,P0002,S010,630,2024-10-23,2024-10-26,Delivered
PO00052,2024-10-31,P0002,S010,772,2024-12-01,2024-12-02,Delivered
PO00053,2024-12-06,P0002,S010,524,2025-01-06,2025-01-09,Delivered
PO00054,2025-01-05,P0002,S010,558,2025-02-05,2025-02-05,Delivered
PO00055,2025-02-10,P0002,S010,617,2025-03-13,2025-03-16,Delivered
PO00056,2025-03-16,P0002,S010,673,2025-04-16,2025-04-22,Delivered
PO00057,2025-04-22,P0002,S010,796,2025-05-23,2025-05-31,Delivered
PO00058,2025-05-31,P0002,S010,685,2025-07-01,2025-07-15,Delivered
PO00059,2025-07-02,P0002,S010,380,2025-08-02,2025-08-13,Delivered
PO00060,2025-08-11,P0002,S010,519,2025-09-11,2025-09-28,Delivered
PO00061,2025-09-15,P0002,S010,524,2025-10-16,2025-11-02,Delivered
PO00062,2025-10-15,P0002,S010,352,2025-11-15,2025-12-04,Delivered
PO00063,2025-11-23,P0002,S010,546,2025-12-24,,In Transit
PO00064,2025-12-26,P0002,S010,422,2026-01-26,,In Transit
PO00065,2023-01-01,P0003,S004,579,2023-02-01,2023-02-04,Delivered
PO00066,2023-02-04,P0003,S004,497,2023-03-07,2023-03-08,Delivered
PO00067,2023-03-11,P0003,S004,810,2023-04-11,2023-04-11,Delivered
PO00068,2023-04-10,P0003,S004,423,2023-05-11,2023-05-09,Delivered
PO00069,2023-05-20,P0003,S004,763,2023-06-20,2023-06-23,Delivered
PO00070,2023-06-21,P0003,S004,702,2023-07-22,2023-07-23,Delivered
PO00071,2023-07-30,P0003,S004,810,2023-08-30,2023-08-30,Delivered
PO00072,2023-08-31,P0003,S004,788,2023-10-01,2023-10-02,Delivered
PO00073,2023-09-30,P0003,S004,772,2023-10-31,2023-10-30,Delivered
PO00074,2023-10-31,P0003,S004,597,2023-12-01,2023-12-04,Delivered
PO00075,2023-12-02,P0003,S004,443,2024-01-02,2024-01-03,Delivered
PO00076,2024-01-10,P0003,S004,871,2024-02-10,2024-02-08,Delivered
PO00077,2024-02-09,P0003,S004,603,2024-03-11,2024-03-10,Delivered
PO00078,2024-03-14,P0003,S004,459,2024-04-14,2024-04-16,Delivered
PO00079,2024-04-23,P0003,S004,532,2024-05-24,2024-05-22,Delivered
PO00080,2024-05-25,P0003,S004,507,2024-06-25,2024-06-25,Delivered
PO00081,2024-06-26,P0003,S004,451,2024-07-27,2024-07-28,Delivered
PO00082,2024-07-31,P0003,S004,886,2024-08-31,2024-08-29,Delivered
PO00083,2024-08-30,P0003,S004,721,2024-09-30,2024-10-01,Delivered
PO00084,2024-10-06,P0003,S004,553,2024-11-06,2024-11-07,Delivered
PO00085,2024-11-07,P0003,S004,772,2024-12-08,2024-12-11,Delivered
PO00086,2024-12-09,P0003,S004,637,2025-01-09,2025-01-07,Delivered
PO00087,2025-01-09,P0003,S004,462,2025-02-09,2025-02-12,Delivered
PO00088,2025-02-16,P0003,S004,460,2025-03-19,2025-03-20,Delivered
PO00089,2025-03-21,P0003,S004,697,2025-04-21,2025-04-19,Delivered
PO00090,2025-04-24,P0003,S004,803,2025-05-25,2025-05-26,Delivered
PO00091,2025-05-31,P0003,S004,700,2025-07-01,2025-07-01,Delivered
PO00092,2025-06-30,P0003,S004,769,2025-07-31,2025-08-01,Delivered
PO00093,2025-08-05,P0003,S004,337,2025-09-05,2025-09-08,Delivered
PO00094,2025-09-09,P0003,S004,862,2025-10-10,2025-10-12,Delivered
PO00095,2025-10-14,P0003,S004,326,2025-11-14,2025-11-14,Delivered
PO00096,2025-11-14,P0003,S004,583,2025-12-15,2025-12-17,Delivered
PO00097,2025-12-14,P0003,S004,815,2026-01-14,,In Transit
PO00098,2023-01-01,P0004,S011,811,2023-02-04,2023-02-02,Delivered
PO00099,2023-01-31,P0004,S011,519,2023-03-06,2023-03-07,Delivered
PO00100,2023-03-06,P0004,S011,398,2023-04-09,2023-04-12,Delivered
PO00101,2023-04-13,P0004,S011,579,2023-05-17,2023-05-19,Delivered
PO00102,2023-05-13,P0004,S011,480,2023-06-16,2023-06-19,Delivered
PO00103,2023-06-14,P0004,S011,415,2023-07-18,2023-07-19,Delivered
PO00104,2023-07-18,P0004,S011,555,2023-08-21,2023-08-19,Delivered
PO00105,2023-08-19,P0004,S011,865,2023-09-22,2023-09-21,Delivered
PO00106,2023-09-27,P0004,S011,587,2023-10-31,2023-10-31,Delivered
PO00107,2023-11-01,P0004,S011,454,2023-12-05,2023-12-04,Delivered
PO00108,2023-12-10,P0004,S011,403,2024-01-13,2024-01-12,Delivered
PO00109,2024-01-09,P0004,S011,545,2024-02-12,2024-02-10,Delivered
PO00110,2024-02-14,P0004,S011,837,2024-03-19,2024-03-21,Delivered
PO00111,2024-03-17,P0004,S011,707,2024-04-20,2024-04-19,Delivered
PO00112,2024-04-25,P0004,S011,335,2024-05-29,2024-05-27,Delivered
PO00113,2024-05-28,P0004,S011,811,2024-07-01,2024-06-29,Delivered
PO00114,2024-06-29,P0004,S011,653,2024-08-02,2024-08-03,Delivered
PO00115,2024-07-30,P0004,S011,350,2024-09-02,2024-09-05,Delivered
PO00116,2024-09-06,P0004,S011,874,2024-10-10,2024-10-09,Delivered
PO00117,2024-10-11,P0004,S011,869,2024-11-14,2024-11-13,Delivered
PO00118,2024-11-15,P0004,S011,353,2024-12-19,2024-12-17,Delivered
PO00119,2024-12-25,P0004,S011,563,2025-01-28,2025-01-29,Delivered
PO00120,2025-01-28,P0004,S011,304,2025-03-03,2025-03-06,Delivered
PO00121,2025-03-05,P0004,S011,649,2025-04-08,2025-04-10,Delivered
PO00122,2025-04-06,P0004,S011,568,2025-05-10,2025-05-19,Delivered
PO00123,2025-05-07,P0004,S011,419,2025-06-10,2025-06-19,Delivered
PO00124,2025-06-08,P0004,S011,645,2025-07-12,2025-07-24,Delivered
PO00125,2025-07-12,P0004,S011,426,2025-08-15,2025-08-27,Delivered
PO00126,2025-08-19,P0004,S011,357,2025-09-22,2025-10-10,Delivered
PO00127,2025-09-27,P0004,S011,395,2025-10-31,2025-11-17,Delivered
PO00128,2025-11-01,P0004,S011,536,2025-12-05,,In Transit
PO00129,2025-12-05,P0004,S011,746,2026-01-08,,In Transit
PO00130,2023-01-01,P0005,S008,546,2023-01-06,2023-01-09,Delivered
PO00131,2023-02-02,P0005,S008,453,2023-02-07,2023-02-08,Delivered
PO00132,2023-03-06,P0005,S008,385,2023-03-11,2023-03-13,Delivered
PO00133,2023-04-13,P0005,S008,519,2023-04-18,2023-04-20,Delivered
PO00134,2023-05-17,P0005,S008,393,2023-05-22,2023-05-20,Delivered
PO00135,2023-06-19,P0005,S008,503,2023-06-24,2023-06-26,Delivered
PO00136,2023-07-28,P0005,S008,731,2023-08-02,2023-08-01,Delivered
PO00137,2023-08-31,P0005,S008,588,2023-09-05,2023-09-06,Delivered
PO00138,2023-10-04,P0005,S008,821,2023-10-09,2023-10-08,Delivered
PO00139,2023-11-08,P0005,S008,399,2023-11-13,2023-11-15,Delivered
PO00140,2023-12-09,P0005,S008,522,2023-12-14,2023-12-15,Delivered
PO00141,2024-01-17,P0005,S008,741,2024-01-22,2024-01-21,Delivered
PO00142,2024-02-16,P0005,S008,815,2024-02-21,2024-02-23,Delivered
PO00143,2024-03-24,P0005,S008,796,2024-03-29,2024-03-28,Delivered
PO00144,2024-05-03,P0005,S008,679,2024-05-08,2024-05-09,Delivered
PO00145,2024-06-02,P0005,S008,726,2024-06-07,2024-06-05,Delivered
PO00146,2024-07-06,P0005,S008,876,2024-07-11,2024-07-12,Delivered
PO00147,2024-08-05,P0005,S008,342,2024-08-10,2024-08-09,Delivered
PO00148,2024-09-05,P0005,S008,798,2024-09-10,2024-09-12,Delivered
PO00149,2024-10-06,P0005,S008,389,2024-10-11,2024-10-11,Delivered
PO00150,2024-11-12,P0005,S008,717,2024-11-17,2024-11-19,Delivered
PO00151,2024-12-14,P0005,S008,495,2024-12-19,2024-12-17,Delivered
PO00152,2025-01-22,P0005,S008,792,2025-01-27,2025-01-29,Delivered
PO00153,2025-03-03,P0005,S008,675,2025-03-08,2025-03-10,Delivered
PO00154,2025-04-05,P0005,S008,576,2025-04-10,2025-04-08,Delivered
PO00155,2025-05-13,P0005,S008,693,2025-05-18,2025-05-19,Delivered
PO00156,2025-06-16,P0005,S008,491,2025-06-21,2025-06-19,Delivered
PO00157,2025-07-18,P0005,S008,398,2025-07-23,2025-07-21,Delivered
PO00158,2025-08-20,P0005,S008,395,2025-08-25,2025-08-24,Delivered
PO00159,2025-09-26,P0005,S008,336,2025-10-01,2025-10-04,Delivered
PO00160,2025-10-26,P0005,S008,578,2025-10-31,2025-11-02,Delivered
PO00161,2025-12-03,P0005,S008,572,2025-12-08,2025-12-08,Delivered
PO00162,2023-01-01,P0006,S005,895,2023-01-21,2023-01-24,Delivered
PO00163,2023-02-08,P0006,S005,696,2023-02-28,2023-03-03,Delivered
PO00164,2023-03-20,P0006,S005,476,2023-04-09,2023-04-09,Delivered
PO00165,2023-04-22,P0006,S005,744,2023-05-12,2023-05-13,Delivered
PO00166,2023-05-30,P0006,S005,375,2023-06-19,2023-06-19,Delivered
PO00167,2023-07-07,P0006,S005,683,2023-07-27,2023-07-28,Delivered
PO00168,2023-08-09,P0006,S005,805,2023-08-29,2023-08-29,Delivered
PO00169,2023-09-12,P0006,S005,398,2023-10-02,2023-10-04,Delivered
PO00170,2023-10-20,P0006,S005,768,2023-11-09,2023-11-10,Delivered
PO00171,2023-11-22,P0006,S005,450,2023-12-12,2023-12-14,Delivered
PO00172,2023-12-30,P0006,S005,341,2024-01-19,2024-01-21,Delivered
PO00173,2024-02-07,P0006,S005,522,2024-02-27,2024-03-01,Delivered
PO00174,2024-03-17,P0006,S005,462,2024-04-06,2024-04-08,Delivered
PO00175,2024-04-22,P0006,S005,534,2024-05-12,2024-05-14,Delivered
PO00176,2024-06-01,P0006,S005,887,2024-06-21,2024-06-20,Delivered
PO00177,2024-07-09,P0006,S005,791,2024-07-29,2024-07-28,Delivered
PO00178,2024-08-08,P0006,S005,529,2024-08-28,2024-08-30,Delivered
PO00179,2024-09-13,P0006,S005,467,2024-10-03,2024-10-06,Delivered
PO00180,2024-10-22,P0006,S005,493,2024-11-11,2024-11-09,Delivered
PO00181,2024-11-25,P0006,S005,464,2024-12-15,2024-12-17,Delivered
PO00182,2024-12-30,P0006,S005,795,2025-01-19,2025-01-19,Delivered
PO00183,2025-01-29,P0006,S005,799,2025-02-18,2025-02-21,Delivered
PO00184,2025-02-28,P0006,S005,600,2025-03-20,2025-03-18,Delivered
PO00185,2025-04-02,P0006,S005,369,2025-04-22,2025-04-23,Delivered
PO00186,2025-05-04,P0006,S005,481,2025-05-24,2025-05-26,Delivered
PO00187,2025-06-09,P0006,S005,830,2025-06-29,2025-06-29,Delivered
PO00188,2025-07-15,P0006,S005,750,2025-08-04,2025-08-07,Delivered
PO00189,2025-08-15,P0006,S005,357,2025-09-04,2025-09-05,Delivered
PO00190,2025-09-17,P0006,S005,755,2025-10-07,2025-10-08,Delivered
PO00191,2025-10-25,P0006,S005,686,2025-11-14,2025-11-12,Delivered
PO00192,2025-12-02,P0006,S005,668,2025-12-22,2025-12-23,Delivered
PO00193,2023-01-01,P0007,S007,416,2023-02-01,2023-01-30,Delivered
PO00194,2023-02-05,P0007,S007,855,2023-03-08,2023-03-07,Delivered
PO00195,2023-03-11,P0007,S007,512,2023-04-11,2023-04-14,Delivered
PO00196,2023-04-20,P0007,S007,528,2023-05-21,2023-05-22,Delivered
PO00197,2023-05-23,P0007,S007,831,2023-06-23,2023-06-23,Delivered
PO00198,2023-06-30,P0007,S007,346,2023-07-31,2023-07-30,Delivered
PO00199,2023-08-07,P0007,S007,825,2023-09-07,2023-09-05,Delivered
PO00200,2023-09-06,P0007,S007,865,2023-10-07,2023-10-09,Delivered
PO00201,2023-10-11,P0007,S007,770,2023-11-11,2023-11-11,Delivered
PO00202,2023-11-18,P0007,S007,311,2023-12-19,2023-12-19,Delivered
PO00203,2023-12-27,P0007,S007,707,2024-01-27,2024-01-30,Delivered
PO00204,2024-01-30,P0007,S007,647,2024-03-01,2024-02-29,Delivered
PO00205,2024-03-03,P0007,S007,615,2024-04-03,2024-04-02,Delivered
PO00206,2024-04-03,P0007,S007,340,2024-05-04,2024-05-05,Delivered
PO00207,2024-05-06,P0007,S007,801,2024-06-06,2024-06-06,Delivered
PO00208,2024-06-05,P0007,S007,760,2024-07-06,2024-07-04,Delivered
PO00209,2024-07-07,P0007,S007,689,2024-08-07,2024-08-09,Delivered
PO00210,2024-08-07,P0007,S007,555,2024-09-07,2024-09-07,Delivered
PO00211,2024-09-10,P0007,S007,749,2024-10-11,2024-10-09,Delivered
PO00212,2024-10-19,P0007,S007,541,2024-11-19,2024-11-22,Delivered
PO00213,2024-11-28,P0007,S007,304,2024-12-29,2024-12-31,Delivered
PO00214,2025-01-03,P0007,S007,673,2025-02-03,2025-02-01,Delivered
PO00215,2025-02-02,P0007,S007,523,2025-03-05,2025-03-04,Delivered
PO00216,2025-03-04,P0007,S007,581,2025-04-04,2025-04-04,Delivered
PO00217,2025-04-11,P0007,S007,760,2025-05-12,2025-05-15,Delivered
PO00218,2025-05-11,P0007,S007,404,2025-06-11,2025-06-10,Delivered
PO00219,2025-06-12,P0007,S007,704,2025-07-13,2025-07-11,Delivered
PO00220,2025-07-18,P0007,S007,775,2025-08-18,2025-08-21,Delivered
PO00221,2025-08-17,P0007,S007,736,2025-09-17,2025-09-19,Delivered
PO00222,2025-09-22,P0007,S007,864,2025-10-23,2025-10-25,Delivered
PO00223,2025-10-26,P0007,S007,757,2025-11-26,2025-11-25,Delivered
PO00224,2025-11-27,P0007,S007,384,2025-12-28,2025-12-26,Delivered
PO00225,2023-01-01,P0008,S012,300,2023-02-01,2023-02-04,Delivered
PO00226,2023-02-02,P0008,S012,745,2023-03-05,2023-03-07,Delivered
PO00227,2023-03-04,P0008,S012,787,2023-04-04,2023-04-02,Delivered
PO00228,2023-04-04,P0008,S012,394,2023-05-05,2023-05-06,Delivered
PO00229,2023-05-11,P0008,S012,549,2023-06-11,2023-06-10,Delivered
PO00230,2023-06-11,P0008,S012,417,2023-07-12,2023-07-15,Delivered
PO00231,2023-07-13,P0008,S012,605,2023-08-13,2023-08-13,Delivered
PO00232,2023-08-12,P0008,S012,535,2023-09-12,2023-09-15,Delivered
PO00233,2023-09-15,P0008,S012,700,2023-10-16,2023-10-19,Delivered
PO00234,2023-10-21,P0008,S012,877,2023-11-21,2023-11-23,Delivered
PO00235,2023-11-30,P0008,S012,402,2023-12-31,2023-12-31,Delivered
PO00236,2024-01-04,P0008,S012,605,2024-02-04,2024-02-05,Delivered
PO00237,2024-02-04,P0008,S012,634,2024-03-06,2024-03-05,Delivered
PO00238,2024-03-15,P0008,S012,746,2024-04-15,2024-04-15,Delivered
PO00239,2024-04-15,P0008,S012,548,2024-05-16,2024-05-17,Delivered
PO00240,2024-05-20,P0008,S012,634,2024-06-20,2024-06-18,Delivered
PO00241,2024-06-25,P0008,S012,862,2024-07-26,2024-07-25,Delivered
PO00242,2024-07-25,P0008,S012,437,2024-08-25,2024-08-27,Delivered
PO00243,2024-08-31,P0008,S012,629,2024-10-01,2024-09-29,Delivered
PO00244,2024-09-30,P0008,S012,368,2024-10-31,2024-11-01,Delivered
PO00245,2024-10-31,P0008,S012,352,2024-12-01,2024-12-04,Delivered
PO00246,2024-12-01,P0008,S012,425,2025-01-01,2025-01-03,Delivered
PO00247,2025-01-10,P0008,S012,410,2025-02-10,2025-02-10,Delivered
PO00248,2025-02-17,P0008,S012,673,2025-03-20,2025-03-20,Delivered
PO00249,2025-03-26,P0008,S012,659,2025-04-26,2025-04-27,Delivered
PO00250,2025-04-28,P0008,S012,494,2025-05-29,2025-05-27,Delivered
PO00251,2025-05-30,P0008,S012,392,2025-06-30,2025-06-30,Delivered
PO00252,2025-06-30,P0008,S012,350,2025-07-31,2025-08-02,Delivered
PO00253,2025-08-01,P0008,S012,304,2025-09-01,2025-09-03,Delivered
PO00254,2025-09-01,P0008,S012,833,2025-10-02,2025-10-03,Delivered
PO00255,2025-10-05,P0008,S012,812,2025-11-05,2025-11-08,Delivered
PO00256,2025-11-08,P0008,S012,823,2025-12-09,2025-12-07,Delivered
PO00257,2025-12-17,P0008,S012,845,2026-01-17,,In Transit
PO00258,2023-01-01,P0009,S003,372,2023-02-03,2023-02-06,Delivered
PO00259,2023-02-09,P0009,S003,346,2023-03-14,2023-03-12,Delivered
PO00260,2023-03-19,P0009,S003,538,2023-04-21,2023-04-24,Delivered
PO00261,2023-04-25,P0009,S003,406,2023-05-28,2023-05-31,Delivered
PO00262,2023-05-25,P0009,S003,556,2023-06-27,2023-06-26,Delivered
PO00263,2023-07-01,P0009,S003,552,2023-08-03,2023-08-01,Delivered
PO00264,2023-08-03,P0009,S003,825,2023-09-05,2023-09-08,Delivered
PO00265,2023-09-11,P0009,S003,377,2023-10-14,2023-10-15,Delivered
PO00266,2023-10-18,P0009,S003,664,2023-11-20,2023-11-19,Delivered
PO00267,2023-11-26,P0009,S003,611,2023-12-29,2024-01-01,Delivered
PO00268,2023-12-28,P0009,S003,662,2024-01-30,2024-01-30,Delivered
PO00269,2024-01-28,P0009,S003,314,2024-03-01,2024-02-29,Delivered
PO00270,2024-03-06,P0009,S003,327,2024-04-08,2024-04-10,Delivered
PO00271,2024-04-14,P0009,S003,572,2024-05-17,2024-05-15,Delivered
PO00272,2024-05-20,P0009,S003,773,2024-06-22,2024-06-25,Delivered
PO00273,2024-06-27,P0009,S003,824,2024-07-30,2024-07-28,Delivered
PO00274,2024-07-30,P0009,S003,879,2024-09-01,2024-08-30,Delivered
PO00275,2024-09-07,P0009,S003,532,2024-10-10,2024-10-10,Delivered
PO00276,2024-10-08,P0009,S003,410,2024-11-10,2024-11-11,Delivered
PO00277,2024-11-12,P0009,S003,668,2024-12-15,2024-12-14,Delivered
PO00278,2024-12-14,P0009,S003,724,2025-01-16,2025-01-15,Delivered
PO00279,2025-01-17,P0009,S003,581,2025-02-19,2025-02-22,Delivered
PO00280,2025-02-17,P0009,S003,614,2025-03-22,2025-03-22,Delivered
PO00281,2025-03-24,P0009,S003,676,2025-04-26,2025-04-28,Delivered
PO00282,2025-04-23,P0009,S003,576,2025-05-26,2025-05-28,Delivered
PO00283,2025-05-28,P0009,S003,802,2025-06-30,2025-07-03,Delivered
PO00284,2025-06-30,P0009,S003,745,2025-08-02,2025-08-05,Delivered
PO00285,2025-08-06,P0009,S003,542,2025-09-08,2025-09-06,Delivered
PO00286,2025-09-12,P0009,S003,847,2025-10-15,2025-10-17,Delivered
PO00287,2025-10-19,P0009,S003,621,2025-11-21,2025-11-24,Delivered
PO00288,2025-11-21,P0009,S003,374,2025-12-24,2025-12-25,Delivered
PO00289,2025-12-24,P0009,S003,417,2026-01-26,,In Transit
PO00290,2023-01-01,P0010,S007,803,2023-02-01,2023-02-04,Delivered
PO00291,2023-02-05,P0010,S007,873,2023-03-08,2023-03-08,Delivered
PO00292,2023-03-15,P0010,S007,691,2023-04-15,2023-04-14,Delivered
PO00293,2023-04-23,P0010,S007,472,2023-05-24,2023-05-24,Delivered
PO00294,2023-05-27,P0010,S007,709,2023-06-27,2023-06-30,Delivered
PO00295,2023-07-01,P0010,S007,524,2023-08-01,2023-08-02,Delivered
PO00296,2023-08-03,P0010,S007,439,2023-09-03,2023-09-01,Delivered
PO00297,2023-09-02,P0010,S007,619,2023-10-03,2023-10-02,Delivered
PO00298,2023-10-07,P0010,S007,438,2023-11-07,2023-11-09,Delivered
PO00299,2023-11-09,P0010,S007,558,2023-12-10,2023-12-12,Delivered
PO00300,2023-12-09,P0010,S007,309,2024-01-09,2024-01-12,Delivered
PO00301,2024-01-12,P0010,S007,471,2024-02-12,2024-02-11,Delivered
PO00302,2024-02-12,P0010,S007,467,2024-03-14,2024-03-16,Delivered
PO00303,2024-03-14,P0010,S007,620,2024-04-14,2024-04-15,Delivered
PO00304,2024-04-17,P0010,S007,849,2024-05-18,2024-05-16,Delivered
PO00305,2024-05-23,P0010,S007,394,2024-06-23,2024-06-23,Delivered
PO00306,2024-06-22,P0010,S007,617,2024-07-23,2024-07-25,Delivered
PO00307,2024-07-23,P0010,S007,675,2024-08-23,2024-08-26,Delivered
PO00308,2024-09-01,P0010,S007,887,2024-10-02,2024-09-30,Delivered
PO00309,2024-10-03,P0010,S007,812,2024-11-03,2024-11-03,Delivered
PO00310,2024-11-09,P0010,S007,871,2024-12-10,2024-12-13,Delivered
PO00311,2024-12-16,P0010,S007,528,2025-01-16,2025-01-16,Delivered
PO00312,2025-01-17,P0010,S007,464,2025-02-17,2025-02-19,Delivered
PO00313,2025-02-20,P0010,S007,678,2025-03-23,2025-03-23,Delivered
PO00314,2025-03-31,P0010,S007,431,2025-05-01,2025-05-04,Delivered
PO00315,2025-05-08,P0010,S007,341,2025-06-08,2025-06-10,Delivered
PO00316,2025-06-15,P0010,S007,595,2025-07-16,2025-07-15,Delivered
PO00317,2025-07-22,P0010,S007,721,2025-08-22,2025-08-25,Delivered
PO00318,2025-08-21,P0010,S007,444,2025-09-21,2025-09-19,Delivered
PO00319,2025-09-20,P0010,S007,403,2025-10-21,2025-10-20,Delivered
PO00320,2025-10-22,P0010,S007,497,2025-11-22,2025-11-22,Delivered
PO00321,2025-11-26,P0010,S007,690,2025-12-27,2025-12-27,Delivered
PO00322,2025-12-28,P0010,S007,747,2026-01-28,,In Transit
