sale_id,date,product_id,customer_id,quantity_sold,unit_price,discount_pct,revenue
SO000081,2023-01-04,P0010,C0007,40,3.67,0.08,146.8
SO000082,2023-01-04,P0001,C0008,20,6.96,0.005,139.2
SO000083,2023-01-05,P0002,C0002,36,6.77,0.058,243.72
SO000084,2023-01-05,P0006,C0025,26,3.1,0.059,80.6
SO000085,2023-01-05,P0006,C0042,10,3.19,0.03,31.9
SO000086,2023-01-05,P0005,C0033,12,8.3,0.077,99.6
SO000087,2023-01-05,P0005,C0039,8,8.23,0.084,65.84
SO000088,2023-01-05,P0004,C0030,39,6.07,0.064,236.73
SO000089,2023-01-05,P0004,C0016,17,5.86,0.097,99.62
SO000090,2023-01-05,P0010,C0030,23,3.67,0.08,84.41
SO000091,2023-01-05,P0003,C0028,30,3.48,0.003,104.4
SO000092,2023-01-05,P0005,C0023,13,8.37,0.069,108.81
SO000093,2023-01-05,P0001,C0001,38,6.82,0.024,259.16
SO000094,2023-01-05,P0006,C0025,44,2.98,0.093,131.12
SO000095,2023-01-05,P0001,C0016,43,6.53,0.066,280.79
SO000096,2023-01-05,P0005,C0022,33,8.61,0.042,284.13
SO000097,2023-01-05,P0010,C0016,41,3.94,0.012,161.54
SO000098,2023-01-05,P0005,C0030,9,8.57,0.047,77.13
SO000099,2023-01-05,P0010,C0026,25,3.8,0.047,95.0
SO000100,2023-01-05,P0001,C0030,41,6.71,0.04,275.11
SO000101,2023-01-05,P0010,C0005,40,3.97,0.005,158.8
SO000102,2023-01-05,P0010,C0019,36,3.65,0.086,131.4
SO000103,2023-01-05,P0005,C0045,8,8.43,0.062,67.44
SO000104,2023-01-05,P0007,C0002,32,2.44,0.059,78.08
SO000105,2023-01-05,P0004,C0024,16,6.24,0.039,99.84
SO000106,2023-01-05,P0001,C0033,47,6.33,0.094,297.51
SO000107,2023-01-05,P0003,C0001,37,3.26,0.065,120.62
SO000108,2023-01-05,P0002,C0035,27,7.14,0.007,192.78
SO000109,2023-01-05,P0008,C0029,30,4.93,0.068,147.9
SO000110,2023-01-05,P0002,C0041,11,7.1,0.012,78.1
SO000111,2023-01-05,P0005,C0045,15,8.2,0.088,123.0
SO000112,2023-01-05,P0004,C0025,25,5.86,0.097,146.5
SO000113,2023-01-05,P0004,C0010,41,6.0,0.075,246.0
SO000114,2023-01-05,P0003,C0035,40,3.36,0.037,134.4
SO000115,2023-01-06,P0005,C0012,17,8.32,0.074,141.44
SO000116,2023-01-06,P0003,C0041,34,3.18,0.09,108.12
SO000117,2023-01-06,P0004,C0025,26,6.3,0.03,163.8
SO000118,2023-01-06,P0003,C0036,16,3.15,0.096,50.4
SO000119,2023-01-06,P0003,C0012,13,3.38,0.032,43.94
SO000120,2023-01-06,P0004,C0019,20,6.2,0.045,124.0
SO000121,2023-01-06,P0003,C0012,29,3.3,0.055,95.7
SO000122,2023-01-06,P0005,C0036,27,8.29,0.078,223.83
SO000123,2023-01-06,P0007,C0045,46,2.34,0.097,107.64
SO000124,2023-01-06,P0010,C0005,39,3.63,0.089,141.57
SO000125,2023-01-06,P0002,C0012,13,6.64,0.076,86.32
SO000126,2023-01-06,P0001,C0038,11,6.69,0.043,73.59
SO000127,2023-01-06,P0008,C0042,13,4.86,0.082,63.18
SO000128,2023-01-06,P0010,C0002,9,3.79,0.051,34.11
SO000129,2023-01-06,P0006,C0019,12,3.17,0.037,38.04
SO000130,2023-01-06,P0001,C0022,21,6.33,0.095,132.93
SO000131,2023-01-06,P0009,C0045,8,4.33,0.035,34.64
SO000132,2023-01-06,P0003,C0044,43,3.34,0.042,143.62
SO000133,2023-01-06,P0010,C0019,43,3.82,0.043,164.26
SO000134,2023-01-06,P0002,C0028,24,7.1,0.012,170.4
SO000135,2023-01-06,P0009,C0039,5,4.18,0.068,20.9
SO000136,2023-01-06,P0009,C0025,37,4.39,0.022,162.43
SO000137,2023-01-06,P0006,C0044,49,2.97,0.097,145.53
SO000138,2023-01-06,P0005,C0016,25,8.1,0.099,202.5
SO000139,2023-01-06,P0005,C0036,39,8.36,0.07,326.04
SO000140,2023-01-06,P0009,C0018,45,4.39,0.022,197.55
SO000141,2023-01-06,P0001,C0003,20,6.47,0.074,129.4
SO000142,2023-01-06,P0010,C0032,20,3.63,0.089,72.6
SO000143,2023-01-06,P0008,C0028,12,5.2,0.017,62.4
SO000144,2023-01-07,P0002,C0028,32,6.93,0.036,221.76
SO000145,2023-01-07,P0004,C0027,21,6.31,0.028,132.51
SO000146,2023-01-07,P0005,C0020,17,8.38,0.068,142.46
SO000147,2023-01-07,P0003,C0006,22,3.34,0.042,73.48
SO000148,2023-01-07,P0005,C0025,6,8.92,0.008,53.52
SO000149,2023-01-07,P0002,C0045,9,7.17,0.003,64.53
SO000150,2023-01-07,P0001,C0001,22,6.3,0.099,138.6
SO000151,2023-01-07,P0001,C0011,25,6.47,0.075,161.75
SO000152,2023-01-07,P0009,C0022,31,4.23,0.057,131.13
SO000153,2023-01-07,P0001,C0034,45,6.7,0.041,301.5
SO000154,2023-01-07,P0001,C0021,10,6.51,0.069,65.1
SO000155,2023-01-08,P0003,C0023,41,3.24,0.073,132.84
SO000156,2023-01-08,P0010,C0010,23,3.89,0.025,89.47
SO000157,2023-01-08,P0009,C0001,49,4.22,0.061,206.78
SO000158,2023-01-08,P0001,C0040,36,6.96,0.005,250.56
SO000159,2023-01-08,P0008,C0039,30,5.03,0.05,150.9
SO000160,2023-01-08,P0006,C0003,16,3.02,0.082,48.32
SO000161,2023-01-08,P0005,C0030,34,8.28,0.079,281.52
SO000162,2023-01-08,P0001,C0023,19,6.44,0.078,122.36
SO000163,2023-01-08,P0002,C0011,43,7.09,0.014,304.87
SO000164,2023-01-08,P0002,C0038,38,6.73,0.064,255.74
SO000165,2023-01-09,P0002,C0038,37,6.63,0.078,245.31
SO000166,2023-01-09,P0007,C0042,21,2.34,0.095,49.14
SO000167,2023-01-09,P0004,C0010,21,6.17,0.049,129.57
SO000168,2023-01-09,P0004,C0024,9,5.85,0.098,52.65
SO000169,2023-01-09,P0005,C0002,17,8.8,0.021,149.6
SO000170,2023-01-09,P0003,C0023,20,3.44,0.015,68.8
SO000171,2023-01-09,P0006,C0016,12,3.23,0.018,38.76
SO000172,2023-01-09,P0004,C0025,7,5.93,0.087,41.51
SO000173,2023-01-09,P0002,C0019,25,7.07,0.017,176.75
SO000174,2023-01-09,P0010,C0022,25,3.77,0.055,94.25
SO000175,2023-01-09,P0005,C0041,16,8.8,0.021,140.8
SO000176,2023-01-09,P0002,C0014,30,6.69,0.069,200.7
SO000177,2023-01-09,P0009,C0026,26,4.45,0.008,115.7
SO000178,2023-01-09,P0001,C0026,40,6.42,0.081,256.8
SO000179,2023-01-09,P0001,C0035,19,6.61,0.054,125.59
SO000180,2023-01-09,P0008,C0022,18,4.96,0.062,89.28
SO000181,2023-01-09,P0007,C0014,28,2.4,0.072,67.2
SO000182,2023-01-09,P0010,C0014,11,3.71,0.069,40.81
SO000183,2023-01-09,P0007,C0043,49,2.36,0.087,115.64
SO000184,2023-01-09,P0006,C0035,19,3.26,0.01,61.94
SO000185,2023-01-09,P0007,C0037,32,2.58,0.002,82.56
SO000186,2023-01-09,P0009,C0017,43,4.45,0.009,191.35
SO000187,2023-01-09,P0009,C0017,17,4.23,0.059,71.91
SO000188,2023-01-09,P0004,C0010,7,6.07,0.065,42.49
SO000189,2023-01-09,P0002,C0036,26,6.77,0.059,176.02
SO000190,2023-01-09,P0008,C0040,48,5.22,0.013,250.56
SO000191,2023-01-10,P0010,C0034,49,3.86,0.033,189.14
SO000192,2023-01-10,P0009,C0033,26,4.39,0.023,114.14
SO000193,2023-01-10,P0006,C0004,34,3.23,0.019,109.82
SO000194,2023-01-10,P0008,C0009,7,5.01,0.052,35.07
SO000195,2023-01-10,P0008,C0037,40,4.76,0.1,190.4
SO000196,2023-01-10,P0006,C0002,24,2.97,0.097,71.28
SO000197,2023-01-10,P0004,C0015,10,5.85,0.098,58.5
SO000198,2023-01-10,P0008,C0038,6,4.99,0.056,29.94
SO000199,2023-01-10,P0008,C0026,49,4.88,0.077,239.12
SO000200,2023-01-10,P0006,C0026,8,3.15,0.043,25.2
SO000201,2023-01-10,P0001,C0020,16,6.91,0.011,110.56
SO000202,2023-01-10,P0010,C0014,42,3.76,0.058,157.92
SO000203,2023-01-10,P0004,C0013,47,6.11,0.059,287.17
SO000204,2023-01-10,P0006,C0010,9,3.27,0.006,29.43
SO000205,2023-01-10,P0002,C0013,44,6.61,0.081,290.84
SO000206,2023-01-10,P0001,C0037,13,6.46,0.076,83.98
SO000207,2023-01-10,P0008,C0038,39,5.1,0.035,198.9
SO000208,2023-01-10,P0001,C0005,48,6.7,0.041,321.6
SO000209,2023-01-10,P0005,C0011,13,8.8,0.021,114.4
SO000210,2023-01-10,P0003,C0035,5,3.23,0.074,16.15
SO000211,2023-01-10,P0006,C0029,12,3.02,0.083,36.24
SO000212,2023-01-10,P0005,C0014,34,8.24,0.083,280.16
SO000213,2023-01-11,P0010,C0004,29,3.64,0.088,105.56
SO000214,2023-01-11,P0009,C0018,44,4.29,0.045,188.76
SO000215,2023-01-11,P0008,C0014,36,5.05,0.046,181.8
SO000216,2023-01-11,P0006,C0033,27,3.15,0.044,85.05
SO000217,2023-01-11,P0001,C0025,21,6.36,0.09,133.56
SO000218,2023-01-11,P0007,C0002,18,2.57,0.007,46.26
SO000219,2023-01-11,P0008,C0039,10,4.79,0.094,47.9
SO000220,2023-01-11,P0007,C0008,46,2.55,0.014,117.3
SO000221,2023-01-11,P0001,C0030,43,6.59,0.057,283.37
SO000222,2023-01-11,P0006,C0033,41,3.03,0.078,124.23
SO000223,2023-01-11,P0001,C0004,26,6.49,0.071,168.74
SO000224,2023-01-11,P0005,C0010,37,8.9,0.01,329.3
SO000225,2023-01-11,P0004,C0045,28,6.1,0.06,170.8
SO000226,2023-01-11,P0008,C0005,33,5.17,0.023,170.61
SO000227,2023-01-11,P0002,C0027,35,6.76,0.06,236.6
SO000228,2023-01-11,P0004,C0036,30,6.33,0.025,189.9
SO000229,2023-01-11,P0005,C0020,15,8.13,0.096,121.95
SO000230,2023-01-11,P0008,C0038,10,5.08,0.04,50.8
SO000231,2023-01-11,P0010,C0043,16,3.63,0.091,58.08
SO000232,2023-01-11,P0008,C0018,29,5.15,0.026,149.35
SO000233,2023-01-12,P0004,C0004,9,5.89,0.092,53.01
SO000234,2023-01-12,P0008,,32,5.09,0.037,162.88
SO000235,2023-01-12,P0009,C0029,18,4.07,0.093,73.26
SO000236,2023-01-12,P0006,C0011,27,3.25,0.012,87.75
SO000237,2023-01-12,P0005,C0021,30,8.23,0.084,246.9
SO000238,2023-01-12,P0006,C0023,5,3.0,0.087,15.0
SO000239,2023-01-12,P0007,C0040,19,2.49,0.04,47.31
SO000240,2023-01-12,P0009,C0009,14,4.13,0.08,57.82
SO000241,2023-01-12,P0005,C0026,45,8.89,0.011,400.05
SO000242,2023-01-12,P0004,C0025,30,5.89,0.092,176.7
SO000243,2023-01-12,P0002,C0007,22,6.84,0.048,150.48
SO000244,2023-01-12,P0001,C0043,48,6.35,0.091,304.8
SO000245,2023-01-12,P0006,C0024,29,3.13,0.05,90.77
SO000246,2023-01-12,P0006,C0024,37,3.17,0.036,117.29
SO000247,2023-01-12,P0006,C0026,32,3.22,0.021,103.04
SO000248,2023-01-12,P0001,C0007,21,6.32,0.096,132.72
SO000249,2023-01-12,P0001,C0020,26,6.93,0.009,180.18
SO000250,2023-01-12,P0008,C0007,5,5.13,0.031,25.65
SO000251,2023-01-12,P0007,C0019,36,2.47,0.047,88.92
SO000252,2023-01-12,P0001,C0045,33,6.66,0.047,219.78
SO000253,2023-01-12,P0008,C0019,22,5.14,0.029,113.08
SO000254,2023-01-12,P0003,C0002,32,3.32,0.048,106.24
SO000255,2023-01-12,P0006,C0004,5,3.18,0.033,15.9
SO000256,2023-01-12,P0007,C0039,7,2.49,0.037,17.43
SO000257,2023-01-12,P0010,C0019,38,3.83,0.041,145.54
SO000258,2023-01-12,P0007,C0028,36,2.4,0.072,86.4
SO000259,2023-01-12,P0008,C0001,7,5.17,0.023,36.19
SO000260,2023-01-12,P0008,C0037,7,4.82,0.089,33.74
SO000261,2023-01-13,P0003,C0032,28,3.24,0.072,90.72
SO000262,2023-01-13,P0008,C0043,20,5.08,0.04,101.6
SO000263,2023-01-13,P0005,C0021,18,8.73,0.029,157.14
SO000264,2023-01-13,P0002,C0007,14,7.13,0.009,99.82
SO000265,2023-01-13,P0007,C0021,23,2.56,0.012,58.88
SO000266,2023-01-13,P0003,C0036,33,3.34,0.042,110.22
SO000267,2023-01-13,P0002,C0001,9,6.95,0.034,62.55
SO000268,2023-01-13,P0010,C0002,7,3.75,0.059,26.25
SO000269,2023-01-13,P0004,C0005,41,6.22,0.041,255.02
SO000270,2023-01-13,P0009,C0034,48,4.39,0.022,210.72
SO000271,2023-01-13,P0010,C0022,48,3.93,0.014,188.64
SO000272,2023-01-13,P0010,C0030,27,3.67,0.08,99.09
SO000273,2023-01-13,P0001,C0017,18,6.47,0.074,116.46
SO000274,2023-01-13,P0002,C0045,29,7.0,0.026,203.0
SO000275,2023-01-13,P0006,C0022,47,3.15,0.042,148.05
SO000276,2023-01-13,P0010,C0029,49,3.71,0.069,181.79
SO000277,2023-01-13,P0005,C0011,10,8.17,0.091,81.7
SO000278,2023-01-13,P0005,C0042,40,8.54,0.05,341.6
SO000279,2023-01-13,P0002,C0017,41,6.72,0.065,275.52
SO000280,2023-01-13,P0010,C0012,27,3.95,0.011,106.65
SO000281,2023-01-13,P0006,C0021,31,2.99,0.09,92.69
SO000282,2023-01-13,P0006,C0027,44,3.21,0.025,141.24
SO000283,2023-01-13,P0009,C0007,14,4.08,0.091,57.12
SO000284,2023-01-13,P0010,C0021,32,3.68,0.077,117.76
SO000285,2023-01-13,P0002,C0043,5,7.13,0.008,35.65
SO000286,2023-01-13,P0004,C0026,33,6.24,0.039,205.92
SO000287,2023-01-14,P0001,C0039,44,6.59,0.057,289.96
SO000288,2023-01-14,P0002,C0024,26,6.67,0.073,173.42
SO000289,2023-01-14,P0001,C0036,24,6.88,0.016,165.12
SO000290,2023-01-14,P0004,C0043,21,6.17,0.05,129.57
SO000291,2023-01-14,P0002,C0009,30,6.85,0.047,205.5
SO000292,2023-01-14,P0009,C0009,44,4.16,0.073,183.04
SO000293,2023-01-14,P0009,C0043,44,4.3,0.043,189.2
SO000294,2023-01-14,P0007,C0035,7,2.57,0.008,17.99
SO000295,2023-01-15,P0001,C0017,14,6.51,0.069,91.14
SO000296,2023-01-15,P0001,C0012,20,6.38,0.087,127.6
SO000297,2023-01-15,P0008,C0031,25,4.89,0.076,122.25
SO000298,2023-01-15,P0005,C0016,10,8.11,0.098,81.1
SO000299,2023-01-15,P0002,C0025,16,7.03,0.022,112.48
SO000300,2023-01-15,P0010,C0041,49,3.72,0.067,182.28
SO000301,2023-01-15,P0010,C0016,11,3.59,0.1,39.49
SO000302,2023-01-15,P0010,C0021,26,3.62,0.092,94.12
SO000303,2023-01-16,P0002,C0023,33,6.85,0.047,226.05
SO000304,2023-01-16,P0004,C0039,39,6.28,0.032,244.92
SO000305,2023-01-16,P0010,C0039,21,3.73,0.065,78.33
SO000306,2023-01-16,P0008,C0035,48,5.23,0.012,251.04
SO000307,2023-01-16,P0002,C0003,41,6.81,0.053,279.21
SO000308,2023-01-16,P0010,C0023,48,3.76,0.057,180.48
SO000309,2023-01-16,P0008,C0004,33,4.94,0.066,163.02
SO000310,2023-01-16,P0002,C0033,20,6.88,0.043,137.6
SO000311,2023-01-16,P0002,C0035,46,6.48,0.099,298.08
SO000312,2023-01-16,P0007,C0013,17,2.49,0.038,42.33
SO000313,2023-01-16,P0003,C0039,33,3.22,0.077,106.26
SO000314,2023-01-16,P0005,C0044,20,8.21,0.087,164.2
SO000315,2023-01-16,P0009,C0010,34,4.3,0.042,146.2
SO000316,2023-01-16,P0007,C0020,9,2.4,0.073,21.6
SO000317,2023-01-16,P0001,C0003,49,6.75,0.035,330.75
SO000318,2023-01-16,P0002,C0004,22,7.02,0.023,154.44
SO000319,2023-01-16,P0009,C0001,19,4.3,0.043,81.7
SO000320,2023-01-16,P0001,C0024,8,6.84,0.022,54.72
SO000321,2023-01-16,P0010,C0037,41,3.95,0.009,161.95
SO000322,2023-01-16,P0006,C0039,28,3.14,0.047,87.92
SO000323,2023-01-16,P0002,C0025,11,6.48,0.099,71.28
SO000324,2023-01-16,P0008,C0020,33,4.95,0.065,163.35
SO000325,2023-01-17,P0010,C0043,38,3.84,0.038,145.92
SO000326,2023-01-17,P0009,C0003,10,4.13,0.08,41.3
SO000327,2023-01-17,P0006,C0023,13,2.98,0.093,38.74
SO000328,2023-01-17,P0010,C0042,39,3.69,0.076,143.91
SO000329,2023-01-17,P0001,C0024,7,6.42,0.082,44.94
SO000330,2023-01-17,P0006,C0013,29,3.1,0.059,89.9
SO000331,2023-01-17,P0005,C0034,15,8.2,0.088,123.0
SO000332,2023-01-17,P0003,C0028,33,3.18,0.089,104.94
SO000333,2023-01-17,P0009,C0034,16,4.47,0.004,71.52
SO000334,2023-01-17,P0008,C0025,9,4.9,0.074,44.1
SO000335,2023-01-17,P0002,C0024,19,7.18,0.001,136.42
SO000336,2023-01-17,P0005,C0026,22,8.92,0.008,196.24
SO000337,2023-01-17,P0005,C0013,21,8.94,0.006,187.74
SO000338,2023-01-17,P0003,C0003,44,3.25,0.068,143.0
SO000339,2023-01-17,P0001,C0006,28,6.43,0.08,180.04
SO000340,2023-01-17,P0008,C0028,37,5.21,0.016,192.77
SO000341,2023-01-17,P0009,C0013,47,4.38,0.024,205.86
SO000342,2023-01-17,P0005,C0042,40,8.43,0.062,337.2
SO000343,2023-01-17,P0006,C0007,9,3.0,0.088,27.0
SO000344,2023-01-17,P0010,C0031,27,3.99,0.001,107.73
SO000345,2023-01-17,P0005,C0030,43,8.85,0.016,380.55
SO000346,2023-01-17,P0004,C0002,18,6.0,0.076,108.0
SO000347,2023-01-17,P0007,C0002,36,2.57,0.008,92.52
SO000348,2023-01-17,P0001,C0041,21,6.91,0.012,145.11
SO000349,2023-01-17,P0002,C0024,49,6.63,0.078,324.87
SO000350,2023-01-17,P0006,C0019,34,3.28,0.002,111.52
SO000351,2023-01-17,P0009,C0032,38,4.34,0.034,164.92
SO000352,2023-01-18,P0001,C0012,26,6.49,0.071,168.74
SO000353,2023-01-18,P0006,C0001,26,3.09,0.062,80.34
SO000354,2023-01-18,P0002,C0014,33,6.87,0.045,226.71
SO000355,2023-01-18,P0003,C0012,11,3.47,0.007,38.17
SO000356,2023-01-18,P0001,C0006,19,6.42,0.082,121.98
SO000357,2023-01-18,P0010,C0023,30,3.93,0.016,117.9
SO000358,2023-01-18,P0002,C0029,8,6.88,0.043,55.04
SO000359,2023-01-18,P0009,C0039,19,4.14,0.079,78.66
SO000360,2023-01-18,P0004,C0032,6,5.99,0.077,35.94
SO000361,2023-01-18,P0004,C0022,15,6.31,0.027,94.65
SO000362,2023-01-18,P0001,C0044,32,6.48,0.073,207.36
SO000363,2023-01-18,P0005,C0020,10,8.31,0.076,83.1
SO000364,2023-01-18,P0005,C0003,5,8.7,0.032,43.5
SO000365,2023-01-18,P0006,C0015,38,3.22,0.021,122.36
SO000366,2023-01-18,P0001,C0025,28,6.73,0.037,188.44
SO000367,2023-01-18,P0008,C0025,21,5.24,0.009,110.04
SO000368,2023-01-18,P0008,C0015,31,4.85,0.084,150.35
SO000369,2023-01-18,P0004,C0007,7,5.97,0.08,41.79
SO000370,2023-01-18,P0005,C0024,7,8.82,0.019,61.74
SO000371,2023-01-18,P0009,C0030,18,4.22,0.06,75.96
SO000372,2023-01-18,P0004,C0036,13,6.36,0.02,82.68
SO000373,2023-01-18,P0009,C0022,6,4.13,0.08,24.78
SO000374,2023-01-18,P0001,C0008,25,6.94,0.007,173.5
SO000375,2023-01-18,P0002,C0031,42,6.98,0.029,293.16
SO000376,2023-01-18,P0009,C0033,42,4.08,0.091,171.36
SO000377,2023-01-18,P0006,C0024,45,3.21,0.024,144.45
SO000378,2023-01-18,P0009,C0032,19,4.27,0.05,81.13
SO000379,2023-01-18,P0006,C0028,24,3.17,0.035,76.08
SO000380,2023-01-19,P0009,C0013,34,4.48,0.003,152.32
SO000381,2023-01-19,P0004,C0026,26,6.28,0.032,163.28
SO000382,2023-01-19,P0006,C0039,30,3.06,0.069,91.8
SO000383,2023-01-19,P0002,C0015,38,7.16,0.004,272.08
SO000384,2023-01-19,P0001,C0040,15,6.91,0.012,103.65
SO000385,2023-01-19,P0006,C0009,10,3.09,0.062,30.9
SO000386,2023-01-19,P0009,C0012,12,4.06,0.095,48.72
SO000387,2023-01-19,P0004,C0007,15,5.91,0.089,88.65
SO000388,2023-01-19,P0004,C0006,26,6.2,0.045,161.2
SO000389,2023-01-19,P0003,C0041,46,3.34,0.044,153.64
SO000390,2023-01-19,P0002,C0012,27,6.72,0.065,181.44
SO000391,2023-01-19,P0009,C0045,23,4.05,0.098,93.15
SO000392,2023-01-19,P0004,C0045,12,5.93,0.087,71.16
SO000393,2023-01-19,P0005,C0032,48,8.49,0.056,407.52
SO000394,2023-01-19,P0002,C0019,26,6.95,0.033,180.7
SO000395,2023-01-19,P0008,C0041,7,5.25,0.008,36.75
SO000396,2023-01-20,P0006,C0015,37,3.01,0.084,111.37
SO000397,2023-01-20,P0001,C0030,25,6.48,0.073,162.0
SO000398,2023-01-20,P0008,C0020,41,5.1,0.035,209.1
SO000399,2023-01-20,P0004,C0024,36,6.11,0.059,219.96
SO000400,2023-01-20,P0010,C0034,40,3.64,0.087,145.6
SO000401,2023-01-20,P0002,C0036,10,6.72,0.066,67.2
SO000402,2023-01-20,P0003,C0012,7,3.27,0.062,22.89
SO000403,2023-01-20,P0008,C0021,19,5.16,0.024,98.04
SO000404,2023-01-20,P0010,C0008,40,3.63,0.091,145.2
SO000405,2023-01-20,P0007,C0042,48,2.49,0.037,119.52
SO000406,2023-01-20,P0002,C0037,9,7.14,0.007,64.26
SO000407,2023-01-20,P0009,C0014,43,4.33,0.036,186.19
SO000408,2023-01-20,P0002,C0039,10,6.72,0.065,67.2
SO000409,2023-01-20,P0009,C0028,6,4.1,0.086,24.6
